time,open,high,low,close,volume
1503307500,4040,4040,4035.82,4035.82,0.325365
1503307800,4035.82,4075,4035.82,4075,0.37845100000000004
1503308100,4075,4075,4075,4075,0
1503308400,4075,4075,4075,4075,0
1503308700,4075,4075,4075,4075,0.019
1503309000,4075,4075,4075,4075,0.19569000000000003
1503309300,4066.5,4075,4066.5,4074,0.203185
1503309600,4066,4074,4066,4074,0.363701
1503309900,4074,4074,4072.82,4074,0.6851959999999999
1503310200,4074,4075,4067.88,4075,1.6401109999999999
1503310500,4075,4075,4075,4075,0.560433
1503310800,4075,4075,4075,4075,1.075491
1503311100,4075,4088.12,4075,4088.08,0.730571
1503311400,4088.08,4088.08,4082.93,4082.93,0.000245
1503311700,4082.93,4088.1,4082.93,4088.1,0.017756
1503312000,4088.1,4088.1,4088.1,4088.1,0.017
1503312300,4088.1,4088.1,4088.1,4088.1,0
1503312600,4088.1,4088.1,4088.1,4088.1,0
1503312900,4088.1,4088.1,4088.1,4088.1,0
1503313200,4088.1,4088.1,4088.1,4088.1,0
1503313500,4088.1,4088.1,4088.1,4088.1,0
1503313800,4088.1,4088.1,4060,4060,0.088574
1503314100,4060,4060,4058,4058,0.02618
1503314400,4058,4058,4035.82,4035.82,3.630302
1503314700,4035,4035,4010.78,4010.78,0.966329
1503315000,4010.78,4010.78,4010.78,4010.78,0.015
1503315300,4011,4023.11,4010.78,4010.78,1.588948
1503315600,4010.78,4010.78,4000.01,4000.01,0.415535
1503315900,4000.01,4010.78,4000.01,4002.01,0.162847
1503316200,4002.01,4023.1,4002.01,4023.09,4.23019
1503316500,4023.09,4023.11,4003.01,4023.11,3.846862
1503316800,4023.11,4023.11,4013.05,4023,0.28942599999999996
1503317100,4013.05,4013.05,4004,4013.05,0.5554
1503317400,4013.05,4023,4013.05,4023,0.026452
1503317700,4023,4023,4008.75,4013.5,1.064418
1503318000,4004,4013.49,4002,4013.49,1.188102
1503318300,4013.49,4023,4013.49,4023,0.366634
1503318600,4023,4023,4012.5,4023,0.124481
1503318900,4023,4023,4012.5,4012.5,0.46853100000000003
1503319200,4012.5,4012.5,4012.5,4012.5,0.5467569999999999
1503319500,4012.51,4023,4002.02,4002.02,0.543668
1503319800,4002.02,4005,4002.01,4002.01,0.532142
1503320100,4002,4022.8,4000,4000,0.7716689999999999
1503320400,4000,4000,4000,4000,0
1503320700,4000,4000,4000,4000,0.051
1503321000,4000,4023.11,4000,4023.11,2.2851600000000003
1503321300,4023.11,4023.11,3997.24,3997.24,2.7120100000000003
1503321600,3997.24,4000,3970.63,4000,7.670263
1503321900,4000,4021.01,3953.4,4007.19,2.484173
1503322200,4007.19,4007.19,4007.19,4007.19,0
1503322500,3951.5,3951.5,3951.5,3951.5,0.5820000000000001
1503322800,3951.5,4007.19,3951.5,4007.19,0.10777799999999998
1503323100,4007.19,4007.19,3951.49,3951.49,0.15
1503323400,3951.49,3951.49,3934.43,3934.44,5.870363
1503323700,3934.44,3951.49,3934.44,3951.49,0.295238
1503324000,3914.59,3914.59,3911.79,3914.59,0.987099
1503324300,3914.59,3914.59,3914,3914,0.32038900000000003
1503324600,3914,3951.49,3911.79,3951.49,0.645891
1503324900,3951.49,3951.49,3951.49,3951.49,0
1503325200,3951.49,4011.98,3915.66,3915.66,1.1734289999999998
1503325500,3915.68,4007.99,3915.68,3979.11,0.678167
1503325800,3999.8,3999.8,3979.11,3979.11,0.094305
1503326100,3979.11,3979.11,3958.35,3958.35,0.732061
1503326400,3958.35,4023.11,3937.01,4022,1.030814
1503326700,4022,4022,3958.49,4021,0.020936
1503327000,4021,4021,3958.35,3958.35,0.634239
1503327300,3958.36,4020,3958.36,3989.17,1.3779709999999998
1503327600,3989.17,3989.17,3989.17,3989.17,0
1503327900,3989.17,4019.99,3967.5,4019.99,0.39021000000000006
1503328200,4019.99,4019.99,3920.55,4014.99,0.476986
1503328500,4014.99,4020,4014.99,4014.99,2.345596
1503328800,4014.99,4014.99,4014.99,4014.99,0.090623
1503329100,3972.5,4014.99,3972.5,4014.99,0.163056
1503329400,4014.99,4014.99,4014.99,4014.99,0.08601
1503329700,4014.99,4015.5,3993.74,3996.75,0.7637579999999999
1503330000,3996.75,4021,3972.5,3972.5,1.466351
1503330300,3997.25,4022,3997.25,3997.25,0.62741
